stop_number,stop_name,latitude,longitude
1,Thaliparamba,12.0369964,75.3600476
2,Pushpagiri,12.0552859,75.3741245
3,Andikalam,12.0625245,75.3770719
4,Chenayannur,12.0682852,75.3820497
5,Kanhirangad,12.0701648,75.3863047
6,Poovam,12.0852973,75.3958202
7,Elemberam Para,12.0981931,75.4047741
8,Naadukani,12.1100416,75.4101844
9,Thettunna Road,12.1148037,75.4145138
10,Madakkaad,12.1245663,75.4238928
11,Ammankulam,12.1318204,75.4324608
12,Oduvallythattu Bus Stand,12.1353962,75.4408002
13,Chanokund,12.146973,75.4429543
14,Vayattparamb Kavala,12.149525,75.4489789
15,Balapuram,12.1533296,75.4529955
16,Meenpatty,12.1590723,75.4549243
17,Karuvanchal,12.1680284,75.4628332
18,Kallody,12.1724237,75.4657092
19,Kottayad Kavala,12.1810274,75.4646913
20,Alakode New Bazar,12.1892958,75.4669909
21,Alakode,12.1921181,75.4669031
22,Arangam,12.1990196,75.4630642
23,Alakkode Panchayath Office,12.1989708,75.458437
24,Nellipara,12.198222,75.4480267
25,Rayarome,12.2103223,75.4400441
26,Pallipadi,12.2080982,75.4341781
27,Poyil,12.2095532,75.4219067
28,Therthalli,12.2089057,75.4128026
29,Panamkutty,12.2167328,75.4035604
30,Kodoppally,12.2240437,75.396717
31,Kakkode,12.2369764,75.3862672
32,Peringala,12.2370101,75.3829858
33,Kallamkode,12.2461202,75.3769589
34,Manjakaad,12.2549547,75.3734764
35,Paakanjikaad,12.2583749,75.3663678
36,Vaniyamkunnu,12.2623117,75.363798
37,Cherupuzha Central Bazar,12.2727198,75.3624317
38,Cherupuzha Bus Stand,12.2744919,75.3636561
