time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging
2026-07-25T03:15:55.402Z,12.035273333333334,75.36112166666666,-35.300000000000004,8.7,193.33,4.560439,13,gps,1.06,0.91,1.40,-89.7,,,,78,,1784949355402,2026-07-25T08:45:55.402+05:30,0.0,1784949352118,Default Profile,false
2026-07-25T03:16:01.381Z,12.035223333333333,75.36101833333333,-38.5,2.8,256.37,2.4387538,30,gps,0.51,1.03,1.15,-89.7,,,,78,,1784949361381,2026-07-25T08:46:01.381+05:30,12.537705566893221,1784949352118,Default Profile,false
2026-07-25T03:16:07.000Z,12.035258333333335,75.36095166666668,-31.6,2.2,305.8,2.1371267,36,gps,0.46,0.67,0.81,-89.7,,,,78,,1784949367000,2026-07-25T08:46:07.000+05:30,20.766287786929468,1784949352118,Default Profile,false
2026-07-25T03:16:13.000Z,12.035301666666665,75.36086166666668,-30.700000000000003,2.1,303.38,1.8138812,41,gps,0.45,0.60,0.75,-89.7,,,,78,,1784949373000,2026-07-25T08:46:13.000+05:30,31.675640932883077,1784949352118,Default Profile,false
2026-07-25T03:16:19.000Z,12.035386666666666,75.36075666666667,-30.400000000000006,2.4,312.52,1.8668975,35,gps,0.50,0.65,0.82,-89.7,,,,78,,1784949379000,2026-07-25T08:46:19.000+05:30,46.49865840720286,1784949352118,Default Profile,false
2026-07-25T03:16:25.000Z,12.035488333333335,75.360585,-30.300000000000004,2.5,320.06,2.4814758,37,gps,0.48,0.81,0.94,-89.7,,,,78,,1784949385000,2026-07-25T08:46:25.000+05:30,68.32354812953861,1784949352118,Default Profile,false
2026-07-25T03:16:30.000Z,12.035636666666669,75.36043166666667,-29.5,2.6,319.46,3.3544447,32,gps,0.55,0.94,1.08,-89.7,,,,78,,1784949390000,2026-07-25T08:46:30.000+05:30,91.77793593094458,1784949352118,Default Profile,false
2026-07-25T03:16:36.000Z,12.035738333333333,75.36034500000001,-27.5,2.7,308.5,3.023993,28,gps,0.61,0.76,0.98,-89.7,,,,78,,1784949396000,2026-07-25T08:46:36.000+05:30,106.4963106205386,1784949352118,Default Profile,false
2026-07-25T03:16:42.000Z,12.035745,75.360355,-27.0,2.7,321.07,0.9059111,31,gps,0.55,0.66,0.86,-89.7,,,,78,,1784949402000,2026-07-25T08:46:42.000+05:30,107.81243919843685,1784949352118,Default Profile,false
2026-07-25T03:16:47.000Z,12.035820000000001,75.360315,-27.400000000000006,2.8,327.35,0.0,31,gps,0.54,0.87,1.02,-89.7,,,,78,,1784949407000,2026-07-25T08:46:47.000+05:30,117.21839258783004,1784949352118,Default Profile,false
2026-07-25T03:16:53.000Z,12.035983333333336,75.36021333333333,-27.400000000000006,2.9,329.71,0.0,28,gps,0.62,0.70,0.93,-89.7,,,,78,,1784949413000,2026-07-25T08:46:53.000+05:30,138.48090055984196,1784949352118,Default Profile,false
2026-07-25T03:16:59.000Z,12.036246666666667,75.35998666666666,-28.0,2.5,324.53,4.024613,36,gps,0.50,0.88,1.01,-89.7,,,,78,,1784949419000,2026-07-25T08:46:59.000+05:30,176.7565315929391,1784949352118,Default Profile,false
2026-07-25T03:17:05.000Z,12.036509999999998,75.35974,-28.300000000000004,2.1,321.42,4.6427946,43,gps,0.45,0.60,0.75,-89.7,,,,78,,1784949425000,2026-07-25T08:47:05.000+05:30,216.46775904869946,1784949352118,Default Profile,false
2026-07-25T03:17:10.000Z,12.036716666666667,75.35958333333333,-28.300000000000004,2.1,321.02,4.663898,40,gps,0.46,0.81,0.93,-89.7,,,,78,,1784949430000,2026-07-25T08:47:10.000+05:30,245.07494799551148,1784949352118,Default Profile,false
2026-07-25T03:17:16.000Z,12.036950000000001,75.35941,-28.800000000000004,2.1,324.24,4.741621,41,gps,0.47,0.80,0.93,-89.7,,,,78,,1784949436000,2026-07-25T08:47:16.000+05:30,277.1450535031278,1784949352118,Default Profile,false
2026-07-25T03:17:21.000Z,12.037105,75.35926666666666,-29.200000000000003,2.2,316.64,4.4472,38,gps,0.46,0.80,0.92,-89.7,,,,78,,1784949441000,2026-07-25T08:47:21.000+05:30,300.38345138356385,1784949352118,Default Profile,false
2026-07-25T03:17:27.000Z,12.037279999999999,75.35907,-32.2,2.4,314.1,4.3241816,40,gps,0.47,0.75,0.89,-89.7,,,,78,,1784949447000,2026-07-25T08:47:27.000+05:30,329.2985404635279,1784949352118,Default Profile,false
2026-07-25T03:17:33.000Z,12.037473333333333,75.358895,-34.7,2.1,319.7,4.4816866,38,gps,0.47,0.80,0.92,-89.7,,,,78,,1784949453000,2026-07-25T08:47:33.000+05:30,358.00983812641834,1784949352118,Default Profile,false
2026-07-25T03:17:39.000Z,12.037538333333336,75.35885666666667,-35.300000000000004,2.1,333.39,2.5911117,39,gps,0.46,0.59,0.75,-89.7,,,,78,,1784949459000,2026-07-25T08:47:39.000+05:30,366.3535578985514,1784949352118,Default Profile,false
2026-07-25T03:17:44.000Z,12.037598333333335,75.35881333333333,-34.5,2.1,330.3,1.1416539,41,gps,0.44,0.58,0.73,-89.7,,,,78,,1784949464000,2026-07-25T08:47:44.000+05:30,374.5217354642361,1784949352118,Default Profile,false
2026-07-25T03:17:50.000Z,12.037825000000002,75.35868166666667,-33.800000000000004,2.2,321.11,3.2005427,42,gps,0.46,0.58,0.74,-89.7,,,,78,,1784949470000,2026-07-25T08:47:50.000+05:30,403.50926289909836,1784949352118,Default Profile,false
2026-07-25T03:17:56.000Z,12.037926666666666,75.35859666666667,-33.300000000000004,2.2,316.79,3.400255,45,gps,0.41,0.59,0.72,-89.7,,,,78,,1784949476000,2026-07-25T08:47:56.000+05:30,418.11218766198186,1784949352118,Default Profile,false
2026-07-25T03:18:02.000Z,12.037993333333334,75.35854333333333,-33.300000000000004,2.1,325.91,1.5014447,44,gps,0.44,0.59,0.74,-89.7,,,,78,,1784949482000,2026-07-25T08:48:02.000+05:30,427.52453684451564,1784949352118,Default Profile,false
2026-07-25T03:18:07.000Z,12.038148333333334,75.35842166666666,-34.400000000000006,2.1,322.53,2.738837,40,gps,0.47,0.76,0.90,-89.7,,,,78,,1784949487000,2026-07-25T08:48:07.000+05:30,449.25280155957955,1784949352118,Default Profile,false
2026-07-25T03:18:13.000Z,12.038411666666665,75.35819666666666,-35.400000000000006,2.5,321.87,4.802873,40,gps,0.47,0.61,0.77,-89.7,,,,78,,1784949493000,2026-07-25T08:48:13.000+05:30,487.41182977659463,1784949352118,Default Profile,false
2026-07-25T03:18:19.000Z,12.038833333333333,75.35781333333333,-33.6,2.7,321.76,9.184189,29,gps,0.58,0.69,0.90,-89.7,,,,78,,1784949499000,2026-07-25T08:48:19.000+05:30,550.1512813755054,1784949352118,Default Profile,false
2026-07-25T03:18:25.000Z,12.039303333333331,75.35746166666667,-36.300000000000004,2.3,323.89,10.511657,34,gps,0.49,0.63,0.80,-89.7,,,,78,,1784949505000,2026-07-25T08:48:25.000+05:30,614.9111532499157,1784949352118,Default Profile,false
2026-07-25T03:18:30.000Z,12.039745000000002,75.35711833333333,-38.2,2.3,323.23,11.338816,27,gps,0.58,0.97,1.13,-89.7,,,,78,,1784949510000,2026-07-25T08:48:30.000+05:30,676.603654062328,1784949352118,Default Profile,false
2026-07-25T03:18:36.000Z,12.040249999999999,75.35675166666667,-42.5,2.3,323.21,10.398418,31,gps,0.53,0.94,1.08,-89.7,,,,78,,1784949516000,2026-07-25T08:48:36.000+05:30,745.4744869580992,1784949352118,Default Profile,false
2026-07-25T03:18:42.000Z,12.04069,75.356405,-43.300000000000004,2.4,324.69,9.152791,30,gps,0.55,0.94,1.08,-89.7,,,,78,,1784949522000,2026-07-25T08:48:42.000+05:30,807.2400648398589,1784949352118,Default Profile,false
2026-07-25T03:18:48.000Z,12.041091666666667,75.35617,-47.0,2.6,329.11,7.463987,29,gps,0.63,0.93,1.12,-89.7,,,,78,,1784949528000,2026-07-25T08:48:48.000+05:30,858.6979519819013,1784949352118,Default Profile,false
2026-07-25T03:18:54.000Z,12.041441666666666,75.35594666666665,-48.900000000000006,2.4,334.15,6.8422027,30,gps,0.52,0.89,1.04,-89.7,,,,78,,1784949534000,2026-07-25T08:48:54.000+05:30,904.5727072877484,1784949352118,Default Profile,false
2026-07-25T03:19:00.000Z,12.041805,75.35576833333333,-50.800000000000004,2.7,344.13,6.984781,25,gps,0.89,0.97,1.31,-89.7,,,,78,,1784949540000,2026-07-25T08:49:00.000+05:30,949.3871224111724,1784949352118,Default Profile,false
2026-07-25T03:19:06.000Z,12.042111666666665,75.35568666666667,-51.0,2.8,356.39,5.0947204,29,gps,0.76,0.69,1.03,-89.7,,,,78,,1784949546000,2026-07-25T08:49:06.000+05:30,984.6244415324594,1784949352118,Default Profile,false
2026-07-25T03:19:12.000Z,12.042308333333335,75.35564666666667,-50.300000000000004,2.5,356.33,2.9159014,29,gps,0.61,0.96,1.14,-89.7,,,,78,,1784949552000,2026-07-25T08:49:12.000+05:30,1006.9212103820954,1784949352118,Default Profile,false
2026-07-25T03:19:18.000Z,12.042426666666666,75.35566166666668,-50.6,2.9,26.3,0.0,31,gps,0.56,0.66,0.87,-89.7,,,,78,,1784949558000,2026-07-25T08:49:18.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:19:24.000Z,12.042426666666666,75.35566166666668,-50.6,2.2,26.3,0.0,34,gps,0.49,0.63,0.80,-89.7,,,,78,,1784949564000,2026-07-25T08:49:24.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:19:29.000Z,12.042426666666666,75.35566166666668,-50.6,2.2,26.3,0.0,36,gps,0.48,0.61,0.78,-89.7,,,,78,,1784949569000,2026-07-25T08:49:29.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:19:34.000Z,12.042426666666666,75.35566166666668,-50.6,2.0,26.3,0.0,34,gps,0.49,0.61,0.79,-89.7,,,,78,,1784949574000,2026-07-25T08:49:34.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:19:40.000Z,12.042426666666666,75.35566166666668,-50.6,2.0,26.3,0.0,35,gps,0.50,0.59,0.77,-89.7,,,,78,,1784949580000,2026-07-25T08:49:40.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:19:46.000Z,12.042426666666666,75.35566166666668,-50.6,1.7,26.3,0.0,35,gps,0.48,0.60,0.77,-89.7,,,,78,,1784949586000,2026-07-25T08:49:46.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:19:52.000Z,12.042426666666666,75.35566166666668,-50.6,1.9,26.3,0.0,29,gps,0.56,0.69,0.89,-89.7,,,,78,,1784949592000,2026-07-25T08:49:52.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:19:58.000Z,12.042426666666666,75.35566166666668,-50.6,1.9,26.3,0.0,37,gps,0.49,0.63,0.80,-89.7,,,,78,,1784949598000,2026-07-25T08:49:58.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:20:03.000Z,12.042426666666666,75.35566166666668,-50.6,1.9,26.3,0.0,37,gps,0.47,0.62,0.77,-89.7,,,,78,,1784949603000,2026-07-25T08:50:03.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:20:08.000Z,12.042426666666666,75.35566166666668,-50.6,1.8,26.3,0.0,37,gps,0.47,0.60,0.76,-89.7,,,,78,,1784949608000,2026-07-25T08:50:08.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:20:14.000Z,12.042426666666666,75.35566166666668,-50.6,2.0,26.3,0.0,38,gps,0.46,0.61,0.76,-89.7,,,,78,,1784949614000,2026-07-25T08:50:14.000+05:30,1020.1800030994972,1784949352118,Default Profile,false
2026-07-25T03:20:20.000Z,12.042471666666666,75.35569166666667,-35.1,1.9,18.17,1.0103997,40,gps,0.45,0.62,0.77,-89.7,,,,78,,1784949620000,2026-07-25T08:50:20.000+05:30,1026.153379445017,1784949352118,Default Profile,false
2026-07-25T03:20:26.000Z,12.042556666666666,75.35569666666667,-33.7,1.9,7.78,2.030579,42,gps,0.44,0.60,0.74,-89.7,,,,78,,1784949626000,2026-07-25T08:50:26.000+05:30,1035.6205756813656,1784949352118,Default Profile,false
2026-07-25T03:20:32.000Z,12.042684999999999,75.35570333333334,-32.800000000000004,2.3,7.35,2.472211,40,gps,0.48,0.80,0.94,-89.7,,,,78,,1784949632000,2026-07-25T08:50:32.000+05:30,1049.9089957753206,1784949352118,Default Profile,false
2026-07-25T03:20:37.000Z,12.042819999999999,75.35569333333333,-34.400000000000006,2.0,0.92,3.1449528,41,gps,0.46,0.62,0.77,-89.7,,,,78,,1784949637000,2026-07-25T08:50:37.000+05:30,1064.9596498703754,1784949352118,Default Profile,false
2026-07-25T03:20:42.000Z,12.042998333333333,75.355695,-35.400000000000006,2.1,6.31,4.692208,39,gps,0.47,0.77,0.90,-89.7,,,,78,,1784949642000,2026-07-25T08:50:42.000+05:30,1084.7902400763298,1784949352118,Default Profile,false
2026-07-25T03:20:48.000Z,12.043271666666666,75.35573,-37.300000000000004,2.5,15.12,3.9427722,42,gps,0.45,0.75,0.87,-89.7,,,,78,,1784949648000,2026-07-25T08:50:48.000+05:30,1115.4209170146444,1784949352118,Default Profile,false
2026-07-25T03:20:54.000Z,12.043418333333333,75.35584333333333,-33.900000000000006,2.1,70.89,2.9189897,43,gps,0.43,0.72,0.84,-89.7,,,,78,,1784949654000,2026-07-25T08:50:54.000+05:30,1135.8627566501748,1784949352118,Default Profile,false
2026-07-25T03:21:00.000Z,12.043394999999999,75.35604333333335,-32.1,2.2,100.3,2.5061824,29,gps,0.51,0.66,0.83,-89.7,,,,78,,1784949660000,2026-07-25T08:51:00.000+05:30,1157.766465803944,1784949352118,Default Profile,false
2026-07-25T03:21:06.000Z,12.043385,75.35612333333333,-31.700000000000003,2.3,103.54,0.0,25,gps,0.59,0.70,0.92,-89.7,,,,78,,1784949666000,2026-07-25T08:51:06.000+05:30,1166.537039760985,1784949352118,Default Profile,false
2026-07-25T03:21:12.000Z,12.043385,75.35612333333333,-31.700000000000003,2.4,103.54,0.0,24,gps,0.59,0.71,0.92,-89.7,,,,78,,1784949672000,2026-07-25T08:51:12.000+05:30,1166.537039760985,1784949352118,Default Profile,false
2026-07-25T03:21:18.000Z,12.043385,75.35612333333333,-31.700000000000003,2.3,103.54,0.0,23,gps,0.61,0.71,0.94,-89.7,,,,78,,1784949678000,2026-07-25T08:51:18.000+05:30,1166.537039760985,1784949352118,Default Profile,false
2026-07-25T03:21:24.000Z,12.043346666666666,75.35621333333333,-31.700000000000003,2.5,85.76,3.0070071,21,gps,1.00,1.16,1.53,-89.7,,,,78,,1784949684000,2026-07-25T08:51:24.000+05:30,1177.2122193390342,1784949352118,Default Profile,false
2026-07-25T03:21:29.000Z,12.043409999999998,75.35645166666667,-35.2,2.5,84.49,5.5317197,28,gps,0.64,0.70,0.95,-89.7,,,,78,,1784949689000,2026-07-25T08:51:29.000+05:30,1204.0700961555756,1784949352118,Default Profile,false
2026-07-25T03:21:35.000Z,12.043406666666666,75.35691833333334,-37.0,2.3,92.85,7.9545174,36,gps,0.51,0.93,1.06,-89.7,,,,78,,1784949695000,2026-07-25T08:51:35.000+05:30,1254.820285031476,1784949352118,Default Profile,false
2026-07-25T03:21:41.000Z,12.043341666666667,75.35728333333333,-37.2,2.5,109.95,5.66143,38,gps,0.47,0.86,0.98,-89.7,,,,78,,1784949701000,2026-07-25T08:51:41.000+05:30,1295.1658063686416,1784949352118,Default Profile,false
2026-07-25T03:21:46.000Z,12.043305000000002,75.35762,-40.800000000000004,2.5,91.59,7.4336185,33,gps,0.56,0.98,1.12,-89.7,,,,78,,1784949706000,2026-07-25T08:51:46.000+05:30,1332.0037977812829,1784949352118,Default Profile,false
2026-07-25T03:21:52.000Z,12.043305000000002,75.35789833333334,-43.2,2.5,95.9,3.585555,31,gps,0.55,0.71,0.90,-89.7,,,,77,,1784949712000,2026-07-25T08:51:52.000+05:30,1362.2718647997383,1784949352118,Default Profile,false
2026-07-25T03:21:57.000Z,12.043268333333334,75.35808833333334,-44.5,2.4,99.7,4.945966,34,gps,0.55,0.91,1.07,-89.7,,,,77,,1784949717000,2026-07-25T08:51:57.000+05:30,1383.332321302646,1784949352118,Default Profile,false
2026-07-25T03:22:02.000Z,12.043221666666666,75.35834,-45.300000000000004,2.4,99.14,5.447305,34,gps,0.56,0.83,0.99,-89.7,,,,77,,1784949722000,2026-07-25T08:52:02.000+05:30,1411.188051985476,1784949352118,Default Profile,false
2026-07-25T03:22:08.000Z,12.043230000000001,75.35872333333333,-45.1,2.4,90.32,7.730613,33,gps,0.53,0.69,0.87,-89.7,,,,77,,1784949728000,2026-07-25T08:52:08.000+05:30,1452.8849210408034,1784949352118,Default Profile,false
2026-07-25T03:22:13.000Z,12.04313,75.35907999999999,-42.5,2.3,95.4,7.6415663,37,gps,0.47,0.82,0.95,-89.7,,,,77,,1784949733000,2026-07-25T08:52:13.000+05:30,1493.2339827519486,1784949352118,Default Profile,false
2026-07-25T03:22:18.000Z,12.043074999999998,75.35937833333334,-42.7,2.1,99.42,6.051589,38,gps,0.47,0.82,0.94,-89.7,,,,77,,1784949738000,2026-07-25T08:52:18.000+05:30,1526.2484196461999,1784949352118,Default Profile,false
2026-07-25T03:22:24.000Z,12.043035000000001,75.35975499999999,-43.400000000000006,2.2,93.86,7.0650773,37,gps,0.48,0.87,0.99,-89.7,,,,77,,1784949744000,2026-07-25T08:52:24.000+05:30,1567.450806812957,1784949352118,Default Profile,false
2026-07-25T03:22:30.000Z,12.043011666666667,75.36018333333332,-44.400000000000006,2.5,94.0,8.706527,34,gps,0.53,1.03,1.16,-89.7,,,,77,,1784949750000,2026-07-25T08:52:30.000+05:30,1614.1032576125376,1784949352118,Default Profile,false
2026-07-25T03:22:36.000Z,12.042963333333335,75.360675,-45.800000000000004,2.2,93.36,8.833663,37,gps,0.50,0.84,0.98,-89.7,,,,77,,1784949756000,2026-07-25T08:52:36.000+05:30,1667.8402967671616,1784949352118,Default Profile,false
2026-07-25T03:22:42.000Z,12.042875,75.36115166666667,-43.900000000000006,2.5,112.64,8.126949,35,gps,0.49,0.76,0.91,-89.7,,,,77,,1784949762000,2026-07-25T08:52:42.000+05:30,1720.599076516651,1784949352118,Default Profile,false
2026-07-25T03:22:48.000Z,12.042673333333335,75.36155833333333,-41.1,2.4,114.72,7.4670753,30,gps,0.54,0.84,1.00,-89.7,,,,77,,1784949768000,2026-07-25T08:52:48.000+05:30,1770.1835476965834,1784949352118,Default Profile,false
2026-07-25T03:22:54.000Z,12.042454999999999,75.36192666666668,-37.2,2.5,122.3,8.27313,28,gps,0.64,0.96,1.16,-89.7,,,,77,,1784949774000,2026-07-25T08:52:54.000+05:30,1817.0219878814744,1784949352118,Default Profile,false
2026-07-25T03:23:00.000Z,12.042310000000002,75.36231,-35.1,2.4,108.76,6.1082087,37,gps,0.48,0.85,0.98,-89.7,,,,77,,1784949780000,2026-07-25T08:53:00.000+05:30,1861.718081932727,1784949352118,Default Profile,false
2026-07-25T03:23:06.000Z,12.042253333333333,75.36244,-31.200000000000003,2.7,127.25,1.3521752,16,gps,0.75,0.80,1.10,-89.7,,,,77,,1784949786000,2026-07-25T08:53:06.000+05:30,1877.195956092851,1784949352118,Default Profile,false
2026-07-25T03:23:11.000Z,12.042233333333336,75.36246833333333,-19.10000000000001,3.1,104.42,1.9116783,7,gps,1.26,0.95,1.58,-89.7,,,,77,,1784949791000,2026-07-25T08:53:11.000+05:30,1880.9958867304001,1784949352118,Default Profile,false
2026-07-25T03:23:17.000Z,12.042229999999998,75.36262666666667,-15.400000000000006,13.9,91.28,3.167086,4,gps,20.40,1.00,20.42,-89.7,,,,77,,1784949797000,2026-07-25T08:53:17.000+05:30,1898.2183059258173,1784949352118,Default Profile,false
2026-07-25T03:23:24.000Z,12.042265000000002,75.362915,-11.600000000000009,5.8,81.24,4.677281,5,gps,3.05,5.27,6.09,-89.7,,,,77,,1784949804000,2026-07-25T08:53:24.000+05:30,1929.8145726127982,1784949352118,Default Profile,false
2026-07-25T03:23:29.000Z,12.042169999999999,75.36330666666666,-11.600000000000009,4.0,99.24,6.9441175,8,gps,1.29,0.96,1.61,-89.7,,,,77,,1784949809000,2026-07-25T08:53:29.000+05:30,1973.6979210799961,1784949352118,Default Profile,false
2026-07-25T03:23:35.000Z,12.042045,75.3639,-16.5,3.1,99.39,9.621188,10,gps,1.41,2.49,2.86,-89.7,,,,77,,1784949815000,2026-07-25T08:53:35.000+05:30,2039.7018394138875,1784949352118,Default Profile,false
2026-07-25T03:23:41.000Z,12.041923333333333,75.36451166666667,-12.200000000000003,3.4,100.27,10.386065,13,gps,0.99,0.88,1.32,-89.7,,,,77,,1784949821000,2026-07-25T08:53:41.000+05:30,2107.581247948498,1784949352118,Default Profile,false
2026-07-25T03:23:46.000Z,12.041821666666666,75.364995,-21.0,3.2,93.94,9.793105,12,gps,0.98,0.91,1.34,-89.7,,,,77,,1784949826000,2026-07-25T08:53:46.000+05:30,2161.3448052915564,1784949352118,Default Profile,false
2026-07-25T03:23:52.000Z,12.041775,75.36550333333334,-18.10000000000001,3.6,93.86,9.365886,9,gps,2.23,4.19,4.75,-89.7,,,,77,,1784949832000,2026-07-25T08:53:52.000+05:30,2216.8681310318634,1784949352118,Default Profile,false
